,2017,2018,2019,2020
Altajskij kraj,2365680,2350080,2332813,2317153
Amurskaja oblast',801752,798424,793194,790044
Arhangel'skaja obl. bez dannyh po Nenetskomu avt. okr.,1121813,1111031,1100290,1092424
Astrahanskaja oblast',1018866,1017514,1014065,1005782
Belgorodskaja oblast',1552865,1549876,1547418,1549151
Brjanskaja oblast',1220530,1210982,1200187,1192491
Vladimirskaja oblast',1389599,1378337,1365805,1358416
Volgogradskaja oblast',2535202,2521276,2507509,2491036
Vologodskaja oblast',1183860,1176689,1167713,1160445
Voronezhskaja oblast',2335408,2333768,2327821,2324205
Evrejskaja avtonomnaja oblast',164217,162014,159913,158305
Zabajkal'skij kraj,1078983,1072806,1065785,1059700
Ivanovskaja oblast',1023170,1014646,1004180,997135
Irkutskaja oblast',2408901,2404195,2397763,2391193
Kabardino-Balkarskaja Respublika,864454,865828,866219,868350
Kaliningradskaja oblast',986261,994599,1002187,1012512
Kaluzhskaja oblast',1014570,1012156,1009380,1002575
Kamchatskij kraj,314729,315557,314723,313016
Karachaevo-Cherkesskaja Respublika,466432,466305,465563,465528
Kemerovskaja oblast',2708844,2694877,2674256,2657854
Kirovskaja oblast',1291684,1283238,1272109,1262402
Kostromskaja oblast',648157,643324,637267,633385
Krasnodarskij kraj,5570945,5603420,5648235,5675462
Krasnojarskij kraj,2875301,2876497,2874026,2866255
Kurganskaja oblast',854109,845537,834701,827166
Kurskaja oblast',1122893,1115237,1107041,1104008
Leningradskaja oblast',1791916,1813816,1847867,1875872
Lipetskaja oblast',1156221,1150201,1144035,1139371
Magadanskaja oblast',145570,144091,141234,140149
g. Moskva,12380664,12506468,12615279,12678079
Moskovskaja oblast',7423470,7503385,7599647,7690863
Murmanskaja oblast',757621,753557,748056,741404
Nenetskij avtonomnyj okrug (Arhangel'skaja oblast'),43937,43997,43829,44111
Nizhegorodskaja oblast',3247713,3234752,3214623,3202946
Novgorodskaja oblast',612522,606476,600296,596508
Novosibirskaja oblast',2779555,2788849,2793384,2798170
Omskaja oblast',1972682,1960081,1944195,1926665
Orenburgskaja oblast',1989589,1977720,1963007,1956835
Orlovskaja oblast',754816,747247,739467,733498
Penzenskaja oblast',1341526,1331655,1318103,1305563
Permskij kraj,2632097,2623122,2610800,2599260
Primorskij kraj,1923116,1913037,1902718,1895868
Pskovskaja oblast',642164,636546,629651,626115
Respublika Adygeja (Adygeja),453366,453376,454744,463088
Respublika Altaj,217007,218063,218866,220181
Respublika Bashkortostan,4066972,4063293,4051005,4038151
Respublika Burjatija,984134,984511,983273,985937
Respublika Dagestan,3041900,3063885,3086126,3110858
Respublika Ingushetija,480474,488043,497393,507061
Respublika Kalmykija,277803,275413,272647,271135
Respublika Karelija,627083,622484,618056,614064
Respublika Komi,850554,840873,830235,820473
Respublika Krym,1912168,1913731,1911818,1912622
Respublika Marij El,684684,682333,680380,679417
Respublika Mordovija,808541,805056,795504,790197
Respublika Saha (Jakutija),962835,964330,967009,971996
Respublika Severnaja Osetija - Alanija,703262,701765,699253,696837
Respublika Tatarstan (Tatarstan),3885253,3894284,3898628,3902888
Respublika Tyva,318550,321722,324423,327383
Respublika Hakasija,537668,537513,536167,534262
Rostovskaja oblast',4231355,4220452,4202320,4197821
Rjazanskaja oblast',1126739,1121474,1114137,1108847
Samarskaja oblast',3203679,3193514,3183038,3179532
g. Sankt-Peterburg,5281579,5351935,5383890,5398064
Saratovskaja oblast',2479260,2462950,2440815,2421895
Sahalinskaja oblast',487344,490181,489638,488257
Sverdlovskaja oblast',4329341,4325256,4315699,4310681
g. Sevastopol',428753,436670,443212,449138
Smolenskaja oblast',953201,949348,942363,934889
Stavropol'skij kraj,2804383,2800674,2795243,2803573
Tambovskaja oblast',1040327,1033552,1015966,1006748
Tverskaja oblast',1296799,1283873,1269636,1260379
Tomskaja oblast',1078891,1078280,1077442,1079271
Tul'skaja oblast',1499417,1491855,1478818,1466127
Tjumenskaja obl.bez dannyh po Hanty-Mansijskomu i Jamalo-Nenetskomu avt. okr.,1477903,1498779,1518695,1537416
Udmurtskaja Respublika,1516826,1513044,1507390,1500955
Ul'janovskaja oblast',1252887,1246618,1238416,1229824
Habarovskij kraj,1333294,1328302,1321473,1315643
Hanty-Mansijskij avtonomnyj okrug - Jugra (Tjumenskaja oblast'),1646078,1655074,1663795,1674676
Cheljabinskaja oblast',3502323,3493036,3475753,3466369
Chechenskaja Respublika,1414865,1436981,1456951,1478726
Chuvashskaja Respublika - Chuvashija,1235863,1231117,1223395,1217818
Chukotskij avtonomnyj okrug,49822,49348,49663,50288
Jamalo-Nenetskij avtonomnyj okrug (Tjumenskaja oblast'),536049,538547,541479,544444
Jaroslavskaja oblast',1270736,1265684,1259612,1253389
